Rank,Player,Age,Position,Org,ProspectRank,field7,field8,field9,field10,field11,field12,field13,field14,field15,field16
1,Shohei Ohtani,30,UT/P,LAD,,,,,,,,,,,
2,Juan Soto,26,OF,NYM,,,,,,,,,,,
3,Bobby Witt Jr.,25,SS,KCR,,,,,,,,,,,
4,Tarik Skubal,27,SP,DET,,,,,,,,,,,
5,Paul Skenes,23,SP,PIT,,,,,,,,,,,
6,Elly De La Cruz,23,SS,CIN,,,,,,,,,,,
7,Gunnar Henderson,24,SS,BAL,,,,,,,,,,,
8,Corbin Carroll,24,OF,ARI,,,,,,,,,,,
9,Julio Rodriguez,24,OF,SEA,,,,,,,,,,,
10,Aaron Judge,33,OF,NYY,,,,,,,,,,,
11,Junior Caminero,21,3B,TBR,,,,,,,,,,,
12,Jackson Chourio,21,OF,MIL,,,,,,,,,,,
13,Fernando Tatis Jr.,26,OF,SDP,,,,,,,,,,,
14,Garrett Crochet,25,SP,BOS,,,,,,,,,,,
15,Nick Kurtz,22,1B,ATH,,,,,,,,,,,
16,Vladimir Guerrero Jr.,26,1B,TOR,,,,,,,,,,,
17,Jose Ramirez,32,3B,CLE,,,,,,,,,,,
18,Ronald Acuna Jr.,27,OF,ATL,,,,,,,,,,,
19,Jazz Chisholm Jr.,27,2B,NYY,,,,,,,,,,,
20,Kyle Tucker,28,OF,FA,,,,,,,,,,,
21,Konnor Griffin,19,SS,PIT,1,,,,,,,,,,
22,Wyatt Langford,23,OF,TEX,,,,,,,,,,,
23,James Wood,22,OF,WAS,,,,,,,,,,,
24,Roman Anthony,21,OF,BOS,,,,,,,,,,,
25,Yordan Alvarez,28,OF,HOU,,,,,,,,,,,
26,Yoshinobu Yamamoto,26,SP,LAD,,,,,,,,,,,
27,Zach Neto,24,SS,LAA,,,,,,,,,,,
28,Logan Gilbert,27,SP,SEA,,,,,,,,,,,
29,Hunter Brown,25,SP,HOU,,,,,,,,,,,
30,Francisco Lindor,31,SS,NYM,,,,,,,,,,,
31,Kevin McGonigle,21,2B,DET,2,,,,,,,,,,
32,Pete Crow-Armstrong,23,OF,CHC,,,,,,,,,,,
33,Jackson Merrill,22,OF,SDP,,,,,,,,,,,
34,Manny Machado,32,3B,SDP,,,,,,,,,,,
35,Cal Raleigh,28,C,SEA,,,,,,,,,,,
36,Bryce Harper,32,1B,PHI,,,,,,,,,,,
37,CJ Abrams,24,SS,WAS,,,,,,,,,,,
38,Hunter Greene,24,SP,CIN,,,,,,,,,,,
39,JJ Wetherholt,23,SS,STL,3,,,,,,,,,,
40,Pete Alonso,30,1B,FA,,,,,,,,,,,
41,Ketel Marte,31,2B,ARI,,,,,,,,,,,
42,Rafael Devers,28,1B,SFG,,,,,,,,,,,
43,Trea Turner,32,SS,PHI,,,,,,,,,,,
44,Mookie Betts,32,SS,LAD,,,,,,,,,,,
45,Cristopher Sanchez,27,SP,PHI,,,,,,,,,,,
46,Joe Ryan,28,SP,MIN,,,,,,,,,,,
47,Eury Perez,21,SP,MIA,,,,,,,,,,,
48,Samuel Basallo,20,C,BAL,4,,,,,,,,,,
49,Kyle Schwarber,32,UT,PHI,,,,,,,,,,,
50,Corey Seager,31,SS,TEX,,,,,,,,,,,
51,Matt Olson,31,1B,ATL,,,,,,,,,,,
52,Riley Greene,24,OF,DET,,,,,,,,,,,
53,Trey Yesavage,22,SP,TOR,5,,,,,,,,,,
54,Oneil Cruz,27,OF,PIT,,,,,,,,,,,
55,Chris Sale,35,SP,ATL,,,,,,,,,,,
56,Jacob deGrom,36,SP,TEX,,,,,,,,,,,
57,George Kirby,26,SP,SEA,,,,,,,,,,,
58,Nolan McLean,24,SP,NYM,6,,,,,,,,,,
59,Logan Webb,27,SP,SFG,,,,,,,,,,,
60,Bryan Woo,24,SP,SEA,,,,,,,,,,,
61,Chase Burns,22,SP,CIN,,,,,,,,,,,
62,Spencer Strider,25,SP,ATL,,,,,,,,,,,
63,Jacob Misiorowski,23,SP,MIL,,,,,,,,,,,
64,Freddie Freeman,35,1B,LAD,,,,,,,,,,,
65,William Contreras,27,C,MIL,,,,,,,,,,,
66,Cody Bellinger,29,OF,FA,,,,,,,,,,,
67,Jordan Westburg,26,3B,BAL,,,,,,,,,,,
68,Geraldo Perdomo,25,SS,ARI,,,,,,,,,,,
69,Jackson Holliday,21,2B,BAL,,,,,,,,,,,
70,Jeremy Pena,27,SS,HOU,,,,,,,,,,,
71,Austin Riley,28,3B,ATL,,,,,,,,,,,
72,Spencer Schwellenbach,25,SP,ATL,,,,,,,,,,,
73,Jesus Made,18,SS,MIL,7,,,,,,,,,,
74,Mason Miller,25,RP,SDP,,,,,,,,,,,
75,Freddy Peralta,28,SP,MIL,,,,,,,,,,,
76,Luke Keaschall,22,2B,MIN,,,,,,,,,,,
77,Brice Turang,25,2B,MIL,,,,,,,,,,,
78,Edward Florentino,18,OF,PIT,8,,,,,,,,,,
79,Randy Arozarena,30,OF,SEA,,,,,,,,,,,
80,Brent Rooker,30,OF,ATH,,,,,,,,,,,
81,Tyler Soderstrom,23,1B,ATH,,,,,,,,,,,
82,Josh Naylor,28,1B,FA,,,,,,,,,,,
83,Vinnie Pasquantino,27,1B,KCR,,,,,,,,,,,
84,Ben Rice,26,C,NYY,,,,,,,,,,,
85,Max Clark,20,OF,DET,9,,,,,,,,,,
86,Aidan Miller,21,SS,PHI,10,,,,,,,,,,
87,Shea Langeliers,27,C,ATL,,,,,,,,,,,
88,Agustin Ramirez,23,C,MIA,,,,,,,,,,,
89,Jose Altuve,35,2B,HOU,,,,,,,,,,,
90,Jarren Duran,28,OF,BOS,,,,,,,,,,,
91,Andy Pages,24,OF,LAD,,,,,,,,,,,
92,Drake Baldwin,24,C,ATL,,,,,,,,,,,
93,Cole Ragans,26,SP,KCR,,,,,,,,,,,
94,Blake Snell,31,SP,LAD,,,,,,,,,,,
95,Sebastian Walcott,19,SS,TEX,11,,,,,,,,,,
96,Leo De Vries,19,SS,ATH,12,,,,,,,,,,
97,Bryce Rainer,20,SS,DET,13,,,,,,,,,,
98,Lawrence Butler,24,OF,ATH,,,,,,,,,,,
99,Max Fried,30,SP,NYY,,,,,,,,,,,
100,Christian Yelich,33,OF,MIL,,,,,,,,,,,
101,Michael Harris II,24,OF,ATL,,,,,,,,,,,
