Rk,Name,Age,Tm,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,Name-additional
1,Fernando Abad,37,COL,11,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,abadfe01
2,Andrew Abbott,24,CIN,1st,21,21,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,abbotan01
3,Cory Abbott,27,WSN,3,22,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,abbotco01
4,CJ Abrams,22,WSN,2,151,148,151,151,0,0,0,0,0,151,0,0,0,0,0,2,1,abramcj01
5,Albert Abreu,27,NYY,4,45,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,abreual01
6,Bryan Abreu,26,HOU,5,72,0,0,72,72,0,0,0,0,0,0,0,0,0,0,0,0,abreubr01
7,José Abreu,36,HOU,10,141,141,141,134,0,0,134,0,0,0,0,0,0,0,7,0,0,abreujo02
8,Wilyer Abreu,24,BOS,1st,28,19,28,25,0,0,0,0,0,0,12,12,3,25,1,6,1,abreuwi02
9,Domingo Acevedo,29,OAK,3,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,acevedo01
10,Garrett Acton,25,OAK,1st,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,actonga01
11,Ronald Acuna Jr.,25,ATL,6,159,159,159,157,0,0,0,0,0,0,0,0,157,157,2,0,0,acunaro01
12,Jason Adam,31,TBR,6,56,0,0,56,56,0,0,0,0,0,0,0,0,0,0,0,0,adamja01
13,Willy Adames,27,MIL,6,149,149,149,147,0,0,0,0,0,147,0,0,0,0,2,0,0,adamewi01
14,Austin Adams,32,ARI,7,24,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,adamsau02
15,Jordyn Adams,23,LAA,1st,17,10,17,14,0,0,0,0,0,0,3,5,6,14,0,2,2,adamsjo03
16,Riley Adams,27,WSN,3,44,39,44,40,0,40,0,0,0,0,0,0,0,0,1,3,0,adamsri03
17,Ty Adcock,26,SEA,1st,12,0,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0,adcocty01
18,Jo Adell,24,LAA,4,17,16,17,16,0,0,0,0,0,0,3,7,9,16,1,1,0,adelljo01
19,Joan Adon,24,WSN,3,12,10,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,adonjo01
20,Ehire Adrianza,33,ATL,11,5,2,5,3,0,0,0,0,0,3,0,0,0,0,0,3,0,adriaeh01
21,Jesús Aguilar,33,OAK,10,36,29,36,24,0,0,24,0,0,0,0,0,0,0,9,7,0,aguilje01
22,Nick Ahmed,33,ARI,10,72,56,72,65,0,0,0,0,0,65,0,0,0,0,3,10,0,ahmedni01
23,Keegan Akin,28,BAL,4,24,1,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,akinke01
24,Hanser Alberto,30,CHW,8,30,20,30,30,2,0,2,11,19,0,0,0,0,0,0,2,0,alberha01
25,Ozzie Albies,26,ATL,7,148,148,148,148,0,0,0,148,0,0,0,0,0,0,0,0,0,albieoz01
26,Jorge Alcala,27,MIN,5,11,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,alcaljo01
27,Sandy Alcantara,27,MIA,7,28,28,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,alcansa01
28,Scott Alexander,33,SFG,9,55,8,1,55,55,0,0,0,0,0,0,0,0,0,0,0,0,alexasc02
29,Tyler Alexander,28,DET,5,25,1,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,alexaty01
30,Jorge Alfaro,30,2TM,8,18,12,18,8,0,8,0,0,0,0,0,0,0,0,9,3,1,alfarjo01
31,Kolby Allard,25,ATL,6,4,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,allarko01
32,Greg Allen,30,NYY,7,22,6,22,19,0,0,0,0,0,0,11,3,5,19,1,1,10,allengr01
33,Logan Allen,24,CLE,1st,24,24,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,allenlo02
34,Nick Allen,24,OAK,2,106,93,106,104,0,0,0,1,0,104,0,0,0,0,1,1,6,allenni02
35,Abraham Almonte,34,NYM,11,8,3,8,2,0,0,0,0,0,0,1,0,1,2,3,5,0,almonab01
36,Yency Almonte,29,LAD,6,49,0,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,almonye01
37,Pete Alonso,28,NYM,5,154,154,154,145,0,0,145,0,0,0,0,0,0,0,9,0,0,alonspe01
38,Jose Altuve,33,HOU,13,90,89,90,88,0,0,0,88,0,0,0,0,0,0,1,1,0,altuvjo01
39,Jake Alu,26,WSN,1st,51,45,51,51,0,0,0,24,5,0,27,0,0,27,0,5,0,aluja01
40,José Alvarado,28,PHI,7,42,0,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,alvarjo03
41,Francisco Alvarez,21,NYM,2,123,103,123,108,0,108,0,0,0,0,0,0,0,0,7,16,2,alvarfr01
42,Yordan Alvarez,26,HOU,5,114,113,114,40,0,0,0,0,0,0,40,0,0,40,73,1,0,alvaryo01
43,Adbert Alzolay,28,CHC,5,58,0,0,58,58,0,0,0,0,0,0,0,0,0,0,0,0,alzolad01
44,Jacob Amaya,24,MIA,1st,4,3,4,4,0,0,0,1,0,3,0,0,0,0,0,0,0,amayaja01
45,Miguel Amaya,24,CHC,1st,53,41,53,41,0,41,0,0,0,0,0,0,0,0,9,9,0,amayami01
46,Brian Anderson,30,MIL,7,96,88,96,91,0,0,0,0,70,0,0,0,39,39,4,5,0,anderbr06
47,Chase Anderson,35,2TM,10,19,17,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,anderch01
48,Grant Anderson,26,TEX,1st,26,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,andergr01
49,Nick Anderson,32,ATL,4,35,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,anderni01
50,Tim Anderson,30,CHW,8,123,119,123,121,0,0,0,2,0,119,0,0,0,0,0,2,1,anderti01
51,Tyler Anderson,33,LAA,8,27,25,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,anderty01
52,Clayton Andrews,26,MIL,1st,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,andrecl02
53,Elvis Andrus,34,CHW,15,112,106,112,110,0,0,0,63,3,52,0,0,0,0,1,2,2,andruel01
54,Miguel Andujar,28,PIT,7,30,20,30,19,0,0,0,0,0,0,1,0,18,19,6,7,1,andujmi01
55,Tejay Antone,29,CIN,3,5,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,antonte01
56,Jonathan Aranda,25,TBR,2,34,23,34,16,0,0,11,4,2,0,0,0,0,0,12,10,0,arandjo01
57,Jonathan Araúz,24,NYM,4,27,17,27,27,0,0,0,7,15,5,0,0,0,0,0,1,0,arauzjo01
58,Orlando Arcia,28,ATL,8,139,136,139,139,0,0,0,0,0,139,0,0,0,0,0,2,0,arciaor01
59,Nolan Arenado,32,STL,11,144,143,144,128,0,0,0,0,128,0,0,0,0,0,15,1,0,arenano01
60,Gabriel Arias,23,CLE,2,122,88,122,114,0,0,35,1,14,53,0,0,19,19,2,7,14,ariasga01
61,Shawn Armstrong,32,TBR,9,39,6,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,armstsh01
62,Randy Arozarena,28,TBR,5,151,149,151,139,0,0,0,0,0,0,139,0,0,139,12,2,0,arozara01
63,Luis Arraez,26,MIA,5,147,141,147,144,0,0,12,134,0,0,0,0,0,0,1,6,0,arraelu01
64,Christian Arroyo,28,BOS,7,66,53,66,66,0,0,0,62,4,4,0,0,0,0,0,5,1,arroych01
65,Graham Ashcraft,25,CIN,2,26,26,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,ashcrgr01
