Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired,Name-additional
1,Fernando Abad*,37,COL,6.1,6,0,3,4.26,5.02,0.14,-0.33,0.00,109.4,4.98,1,0.1,.39,0.0,0.1,1,.509,.500,$100000,Free Agency,abadfe01
2,Andrew Abbott*,24,CIN,109.1,21,21,47,3.87,4.72,-0.14,0.22,0.00,102.7,5.22,17,1.8,,-0.1,2.7,27,.584,.511,,Amateur Draft,abbotan01
3,Cory Abbott,27,WSN,39.1,22,0,29,6.64,4.90,-0.18,-0.32,0.00,95.5,4.55,-9,-0.9,.59,0.1,-0.4,-5,.460,.495,,Waivers,abbotco01
4,Albert Abreu,27,NYY,59.0,45,0,39,5.95,4.96,0.12,-0.33,0.29,101.5,4.87,-8,-0.8,.65,0.0,-0.2,-1,.483,.495,$738700,Waivers,abreual01
5,Bryan Abreu,26,HOU,72.0,72,0,17,2.13,4.68,0.12,-0.31,0.08,98.2,4.25,16,1.7,1.34,0.1,2.5,24,.523,.510,$745200,Amateur Free Agent,abreubr01
6,Domingo Acevedo,29,OAK,9.1,9,0,11,10.61,4.71,-0.67,-0.31,0.00,93.5,4.74,-6,-0.6,1.46,-0.2,-0.7,-5,.433,.496,$725000,Free Agency,acevedo01
7,Garrett Acton,25,OAK,5.2,6,0,8,12.71,5.41,-0.63,-0.36,0.00,90.1,5.12,-5,-0.5,.91,0.0,-0.4,-4,.423,.497,,Free Agency,actonga01
8,Jason Adam,31,TBR,54.1,56,0,21,3.48,4.60,0.12,-0.31,0.00,96.5,4.03,3,0.3,1.25,-0.1,0.7,9,.505,.502,$1775000,Free Agency,adamja01
9,Austin Adams,32,ARI,17.1,24,0,12,6.23,4.92,0.21,-0.32,0.00,98.7,4.33,-4,-0.4,.87,0.0,-0.2,-2,.485,.498,,Free Agency,adamsau02
10,Ty Adcock,26,SEA,15.2,12,0,7,4.02,4.53,0.08,-0.30,0.00,90.6,3.76,-1,-0.1,.73,0.0,0.1,1,.494,.500,,Amateur Draft,adcocty01
11,Joan Adon,24,WSN,51.2,12,10,37,6.45,4.65,-0.19,0.17,0.00,99.0,4.96,-8,-0.8,.33,0.0,-0.3,-3,.433,.495,,,adonjo01
12,Keegan Akin*,28,BAL,23.2,24,1,22,8.37,4.77,0.18,-0.30,0.47,96.5,4.60,-10,-1.0,.93,0.0,-0.8,-8,.458,.494,$731100,Amateur Draft,akinke01
13,Hanser Alberto,30,CHW,1.2,2,0,4,21.60,4.82,-0.57,-0.32,0.00,108.0,5.48,-3,-0.3,.00,0.1,-0.1,-3,.365,.498,$454285,Free Agency,alberha01
14,Jorge Alcala,27,MIN,17.1,11,0,13,6.75,4.38,0.16,-0.29,0.00,105.5,4.14,-5,-0.5,.75,0.0,-0.3,-3,.453,.497,$790000,Traded,alcaljo01
15,Sandy Alcantara,27,MIA,184.2,28,28,91,4.44,4.91,-0.03,0.23,0.00,102.1,5.27,18,1.8,,-0.1,3.4,35,.566,.511,$6300000,Traded,alcansa01
16,Scott Alexander*,33,SFG,48.1,55,8,30,5.59,4.73,-0.10,-0.29,0.23,97.1,4.64,-5,-0.5,1.20,-0.2,-0.2,0,.491,.497,$1200000,Free Agency,alexasc02
17,Tyler Alexander*,28,DET,44.0,25,1,25,5.11,5.04,0.15,-0.30,0.00,103.7,4.77,-2,-0.2,.47,0.0,0.2,3,.491,.499,$1875000,Amateur Draft--no sign,alexaty01
18,Kolby Allard*,25,ATL,12.1,4,3,9,6.57,4.38,0.19,0.16,0.00,98.3,4.28,-3,-0.3,.04,0.0,-0.2,-2,.426,.498,,Traded,allarko01
19,Logan Allen*,24,CLE,125.1,24,24,55,3.95,4.42,0.17,0.20,0.00,98.1,4.37,4,0.4,,-0.1,1.5,18,.518,.503,,Amateur Draft,allenlo02
20,Yency Almonte,29,LAD,48.0,49,0,30,5.63,4.70,0.42,-0.31,0.12,98.9,4.05,-8,-0.8,1.02,-0.1,-0.5,-4,.483,.495,$1500000,Free Agency,almonye01
21,José Alvarado*,28,PHI,41.1,42,0,15,3.27,4.75,-0.15,-0.31,0.27,96.8,4.71,7,0.7,1.47,0.0,1.1,11,.516,.504,$3466667,Traded,alvarjo03
22,Adbert Alzolay,28,CHC,64.0,58,0,23,3.23,4.69,0.25,-0.31,0.44,102.2,4.68,10,1.1,1.60,0.1,1.8,17,.518,.507,$744750,Amateur Free Agent,alzolad01
