full_name,flb_team_init,player_id,injured_list
Elias Diaz,PMT,diazel01,
Max Kepler,PMT,keplema01,
Max Muncy,PMT,muncyma01,
Daulton Varsho,PMT,varshda01,
Alex Verdugo,PMT,verdual01,
Max Fried,PMT,friedma01,
David Peterson,DHL,peterda01,
Chris Sale,PMT,salech01,
Max Scherzer,PMT,scherma01,
Tarik Skubal,PMT,skubata01,
Jameson Taillon,PMT,taillja01,
Joey Bart,BEB,bartjo01,
Ke'Bryan Hayes,BEB,hayeske01,
Nathaniel Lowe,BEB,lowena01,
Ryan Mountcastle,EEB,mountry01,
Corey Seager,BEB,seageco01,
George Springer,BEB,springe01,
Jose Berrios,EEB,berrijo01,
Corbin Burnes,BFP,burneco01,
Josh Hader,BEB,haderjo01,
Kenley Jansen,BEB,janseke01,
Shane McClanahan,BEB,mcclash01,Y
Ronald Acuna Jr.,VWB,acunaro01,
Jose Altuve,GST,altuvjo01,
Oneil Cruz,VWB,cruzon01,
Rafael Devers,BFP,deverra01,
Tommy Edman,VWB,edmanto01,
Alejandro Kirk,VWB,kirkal01,
Miguel Rojas,BFP,rojasmi02,
Carlos Santana,PMT,santaca01,
Marcus Semien,VWB,semiema01,
Christian Walker,VWB,walkech02,
Nestor Cortes,VWB,cortene01,
Zac Gallen,VWB,galleza01,
Andrew Heaney,VWB,heanean01,
Sean Manaea,VWB,manaese01,
Luis Severino,KSS,severlu01,
Brent Suter,KSS,suterbr01,
Logan Webb,VWB,webblo01,
Zack Wheeler,BFP,wheelza01,
Randy Arozarena,EEB,arozara01,
Victor Caratini,EEB,caratvi01,
Vladimir Guerrero Jr.,EEB,guerrvl02,
Ketel Marte,MHH,marteke01,
Keibert Ruiz,EEB,ruizke01,
Gleyber Torres,BEB,torregl01,
Mike Trout,MHM,troutmi01,
Aaron Ashby,BEB,ashbyaa01,
Shane Baz,EEB,bazsh01,
Luis Castillo,EEB,castilu02,
Aroldis Chapman,MHH,chapmar01,
Emmanuel Clase,EEB,claseem01,
Gerrit Cole,EEB,colege01,
Seth Lugo,EEB,lugose01,
Dustin May,BEB,maydu01,
A.J. Puk,PMT,pukaj01,
Carlos Rodon,BFP,rodonca01,
Joe Ryan,EEB,ryanjo04,
Yordan Alvarez,GFB,alvaryo01,
Nolan Arenado,GFB,arenano01,
Josh Bell,GFB,belljo02,
Jazz Chisholm Jr.,GFB,chishja01,
J.P. Crawford,GFB,crawfjp01,
Adolis Garcia,GFB,garciad02,
Ian Happ,GFB,happia01,
Aaron Judge,GFB,judgeaa01,
Trevor Larnach,GFB,larnatr01,
Brandon Lowe,GFB,lowebr01,
J.T. Realmuto,GFB,realmjt01,
Jesus Sanchez,GFB,sanchje02,
Aaron Civale,GFB,civalaa01,
Camilo Doval,GFB,dovalca01,
John Means,GFB,meansjo01,Y
Alec Bohm,VWB,bohmal01,
Paul Goldschmidt,CEC,goldspa01,
Cedric Mullins,CEC,mullice01,
Austin Riley,CEC,rileyau01,
Anthony Santander,GST,santaan02,
Garrett Crochet,CEC,crochga01,
Kevin Gausman,CEC,gausmke01,
Merrill Kelly,CEC,kellyme01,
Pablo Lopez,CEC,lopezpa01,
Drew Rasmussen,CEC,rasmudr01,
Blake Snell,CEC,snellbl01,
Alex Vesia,CEC,vesiaal01,
Brandon Woodruff,CEC,woodrbr01,
Willy Adames,ZMG,adamewi01,
Ozzie Albies,ZMG,albieoz01,
Nick Castellanos,ZMG,casteni01,
Willson Contreras,ZMG,contrwi01,
Amed Rosario,ZMG,rosaram01,
Will Smith,ZMG,smithwi05,
Andrew Vaughn,ZMG,vaughan01,
Christian Yelich,ZMG,yelicch01,
Scott Barlow,DHL,barlosc01,
Shane Bieber,ZMG,biebesh01,
Kyle Finnegan,ZMG,finneky01,
Jack Flaherty,ZMG,flaheja01,
Lucas Giolito,ZMG,giolilu01,
